elem_index,treatment,period_calendar,treatment_qty,treatment_comment,treatment_reason
21946,cs_resurf,2023,1462.5,"OGPA, function: R, on date: 2023-12-01",committed-16_1203_12450_R2
21947,cs_resurf,2023,382.5,"OGPA, function: R, on date: 2023-12-01",committed-16_1203_12775_R1
21948,cs_resurf,2023,382.5,"OGPA, function: R, on date: 2023-12-01",committed-16_1203_12775_R2
21965,cs_resurf,2023,360,"OGPA, function: R, on date: 2023-12-14",committed-16_1221_0_All
21966,cs_resurf,2023,356,"OGPA, function: R, on date: 2023-12-14",committed-16_1221_90_All
22014,cs_rehab,2023,2975,"2CHIP, function: 1, on date: 2023-05-01",committed-16_1642_9250_All
22037,cs_resurf,2023,1068,"OGPA, function: R, on date: 2023-07-03",committed-16_1973_0_All
22038,cs_resurf,2023,160,"OGPA, function: R, on date: 2023-07-03",committed-16_1973_267_All
22060,ac_resurf,2023,1665,"UTA, function: R, on date: 2023-11-15",committed-16_2550_915_All
22063,ac_rehab,2023,3186,"UTA, function: 1, on date: 2023-10-30",committed-16_2550_1398_All
22064,ac_rehab,2023,900,"UTA, function: 1, on date: 2023-10-30",committed-16_2550_1752_All
22074,cs_resurf,2023,720,"BOLID, function: R, on date: 2023-03-01",committed-16_2551_2832_All
22076,ac_resurf,2023,459,"UTA, function: R, on date: 2023-03-07",committed-16_2551_3027_All
22082,cs_resurf,2023,640,"BOLID, function: R, on date: 2023-03-01",committed-16_2552_2862_All
22083,ac_resurf,2023,336,"UTA, function: R, on date: 2023-11-30",committed-16_2552_2942_All
22084,ac_resurf,2023,672,"UTA, function: R, on date: 2023-03-08",committed-16_2552_2984_All
22114,ac_resurf,2023,1706.8,"UTA, function: R, on date: 2023-11-12",committed-16_2573_0_All
22140,cs_resurf,2023,4520,"2CHIP, function: R, on date: 2023-11-01",committed-16_2693_15863_L1
22141,cs_resurf,2023,4520,"2CHIP, function: R, on date: 2023-11-01",committed-16_2693_15863_L2
22146,ac_resurf,2023,600,"UTA, function: R, on date: 2023-03-13",committed-16_2693_16920_All
22161,cs_resurf,2023,3470.5,"RACK, function: R, on date: 2022-12-12",committed-16_2694_12795_R1
22162,cs_resurf,2023,3470.5,"RACK, function: R, on date: 2022-12-12",committed-16_2694_12795_R2
22163,cs_resurf,2023,1188,"RACK, function: R, on date: 2022-12-12",committed-16_2694_13426_R1
22164,cs_resurf,2023,1188,"RACK, function: R, on date: 2022-12-12",committed-16_2694_13426_R2
22166,cs_resurf,2023,272.1666667,"2CHIP, function: R, on date: 2023-10-30",committed-16_2694_13750_R1
22167,cs_resurf,2023,272.1666667,"2CHIP, function: R, on date: 2023-10-30",committed-16_2694_13750_R2
22169,cs_resurf,2023,4817.8,"RACK, function: R, on date: 2022-12-12",committed-16_2694_13821_R1
22170,cs_resurf,2023,4817.8,"RACK, function: R, on date: 2022-12-12",committed-16_2694_13821_R2
22171,cs_resurf,2023,7221.25,"RACK, function: R, on date: 2022-12-12",committed-16_2694_14705_R1
22172,cs_resurf,2023,7221.25,"RACK, function: R, on date: 2022-12-12",committed-16_2694_14705_R2
22180,ac_resurf,2023,455,"UTA, function: R, on date: 2023-03-13",committed-16_2694_17040_All
22211,ac_resurf,2023,140,"UTA, function: R, on date: 2023-06-26",committed-16_2716_0_All
22241,ac_resurf,2023,217,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18033_L1
22242,ac_resurf,2023,217,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18033_L2
